river	geom
Clinch River 27	"LINESTRING ZM (-83.349148037 36.446901516 0 94.601653,-83.349551237 36.446101449 0 91.961853)"
Clinch River 28	"LINESTRING ZM (-83.349189837 36.4470478490001 0 95.121453,-83.349116571 36.446964049 0 94.807953,-83.349148037 36.446901516 0 94.601653)"
Clinch River 29	"LINESTRING ZM (-83.319666029 36.457935053 0 99.999953,-83.319666162 36.4577748520001 0 99.381453,-83.321338163 36.457020119 0 93.408453,-83.323406963 36.4555561190001 0 84.831053,-83.32456883 36.4549385180001 0 80.493553,-83.3253622299999 36.454641252 0 77.766053,-83.328677365 36.4540013180001 0 67.136453,-83.3303773649999 36.453566918 0 61.575953,-83.334457567 36.452126118 0 47.688653,-83.335647367 36.451943317 0 43.911553,-83.3389902339999 36.45185245 0 33.480453,-83.341596636 36.4516469170001 0 25.313353,-83.343891436 36.4512581170001 0 18.000853,-83.3451664359999 36.45084645 0 13.718653,-83.3461863699999 36.4503660500001 0 10.036553,-83.3470079699999 36.449816716 0 6.710253,-83.347914637 36.4489242500001 0 2.252753,-83.348396437 36.4484895160001 0 -4.69999999950232e-005)"
Clinch River 30	"LINESTRING ZM (-83.289651954 36.4688836560001 0 99.999953,-83.290672754 36.468060323 0 97.664053,-83.291353155 36.467854855 0 96.487953,-83.292826555 36.467855656 0 94.102353,-83.294668023 36.468177122 0 91.052053,-83.295744623 36.468475255 0 89.209253,-83.296821023 36.469093656 0 87.070453,-83.297981824 36.4701013220001 0 84.311153,-83.298746224 36.471017256 0 82.096753,-83.298944224 36.471383523 0 81.295453,-83.3006433579999 36.4730094560001 0 77.030053,-83.301436358 36.4736048570001 0 75.276953,-83.302654425 36.474223323 0 72.947453,-83.303731025 36.474567257 0 71.073053,-83.304722759 36.4746820570001 0 69.451053,-83.305289559 36.474659457 0 68.532353,-83.30591316 36.4744995230001 0 67.473053,-83.3065934259999 36.474156523 0 66.174653,-83.30721736 36.473516057 0 64.540953,-83.3074726259999 36.473104123 0 63.617353,-83.3075864259999 36.4725319230001 0 62.455453,-83.307898627 36.471845522 0 60.989453,-83.308154626 36.4704267220001 0 58.114853,-83.308127027 36.469236655 0 55.728453,-83.307759426 36.468275121 0 53.710953,-83.307306159 36.4680460550001 0 52.845153,-83.3062577589999 36.467885322 0 51.117453,-83.303509225 36.4678612550001 0 46.667053,-83.3024893579999 36.4676319220001 0 44.952953,-83.301582824 36.467150722 0 43.196453,-83.300648358 36.4663950550001 0 41.055353,-83.300252157 36.465937055 0 39.935253,-83.300082623 36.4652732550001 0 38.576353,-83.3001113569999 36.464769855 0 37.566053,-83.3006786239999 36.463946121 0 35.676253,-83.301302424 36.4633972550001 0 34.182653,-83.3021245579999 36.462916921 0 32.539553,-83.304675225 36.4621171200001 0 28.109153,-83.306148826 36.4617288540001 0 25.599353,-83.30881256 36.4612950530001 0 21.199353,-83.310342626 36.46122712 0 18.718053,-83.313827228 36.461800854 0 12.959653,-83.314677161 36.461801053 0 11.583453,-83.315640629 36.4615954540001 0 9.969853,-83.316632629 36.4610007200001 0 7.969353,-83.3187874289999 36.4584840520001 0 1.834753,-83.3192693619999 36.4580722530001 0 0.698752999999897,-83.319666029 36.457935053 0 -4.69999999950232e-005)"
Clinch River 31	"LINESTRING ZM (-83.289508821 36.4703712560001 0 99.999953,-83.289651954 36.4688836560001 0 -4.69999999950232e-005)"
Clinch River 32	"LINESTRING ZM (-83.289761821 36.4726601240001 0 99.999953,-83.289508821 36.4703712560001 0 -4.69999999950232e-005)"
Clinch River 33	"LINESTRING ZM (-83.2901544219999 36.477169057 0 99.999953,-83.289985621 36.4759102570001 0 72.188353,-83.289844155 36.4756812570001 0 66.567153,-83.2896751549999 36.474536857 0 41.251853,-83.289761821 36.4726601240001 0 -4.69999999950232e-005)"
Clinch River 34	"LINESTRING ZM (-83.2901539549999 36.477809924 0 99.999953,-83.2901544219999 36.477169057 0 -4.69999999950232e-005)"
Clinch River 35	"LINESTRING ZM (-83.281987353 36.482496725 0 99.999953,-83.282044153 36.4824052590001 0 98.765753,-83.288678754 36.4794111240001 0 24.737653,-83.289586222 36.478702125 0 12.438453,-83.2901537549999 36.4780158570001 0 2.48415300000011,-83.2901539549999 36.477809924 0 -4.69999999950232e-005)"
Clinch River 36	"LINESTRING ZM (-83.27211755 36.4886007270001 0 99.999953,-83.272401217 36.488303327 0 96.286653,-83.274585218 36.4869087270001 0 74.046953,-83.276230619 36.48555966 0 55.316753,-83.278216152 36.484233526 0 34.735053,-83.2815904189999 36.482610859 0 3.365553,-83.281987353 36.482496725 0 -4.69999999950232e-005)"
Clinch River 37	"LINESTRING ZM (-83.25697048 36.4986775960001 0 88.861253,-83.259298413 36.4964179300001 0 72.564453,-83.259866147 36.4956860630001 0 67.776153,-83.260632014 36.4950000630001 0 62.655353,-83.262673815 36.493903129 0 51.676353,-83.264772148 36.4930351290001 0 41.121853,-83.2695365499999 36.490177928 0 14.553053,-83.271635417 36.48878346 0 2.384353,-83.27211755 36.4886007270001 0 -4.69999999950232e-005)"
Clinch River 38	"LINESTRING ZM (-83.255211946 36.500097463 0 99.999953,-83.256801147 36.49884193 0 90.046553,-83.25697048 36.4986775960001 0 88.861253)"
Clinch River 39	"LINESTRING ZM (-83.2153431359999 36.515736868 0 99.999953,-83.2199933369999 36.514478668 0 86.089053,-83.2239418039999 36.512334335 0 72.590353,-83.2264682059999 36.511524068 0 64.879253,-83.228514739 36.510527134 0 58.098953,-83.232471807 36.509329467 0 46.111453,-83.238040341 36.5066826660001 0 27.780553,-83.24349541 36.5046990660001 0 10.808653,-83.246682211 36.503013131 0 -4.69999999950232e-005)"
Clinch River 40	"LINESTRING ZM (-83.1148227739999 36.5382294770001 0 40.243553,-83.117111375 36.537327944 0 32.123353,-83.120835576 36.5365138770001 0 19.821053,-83.122556709 36.5364294760001 0 14.323153,-83.12456731 36.536646476 0 7.855353,-83.126509311 36.5372615430001 0 1.203453,-83.126867311 36.5371650770001 0 -4.69999999950232e-005)"
Clinch River 41	"LINESTRING ZM (-83.097624502 36.5439384790001 0 99.999953,-83.098839503 36.5433265460001 0 95.433553,-83.09989057 36.543169945 0 92.025853,-83.100461904 36.5428262790001 0 89.753853,-83.1018709699999 36.5425732790001 0 85.151553,-83.105664105 36.541361544 0 72.144753,-83.109167773 36.539848277 0 59.474253,-83.110218773 36.5396915440001 0 56.066553,-83.112054373 36.538943944 0 49.510753,-83.1148227739999 36.5382294770001 0 40.243553)"
Clinch River 42	"LINESTRING ZM (-83.066121494 36.5531938820001 0 97.249353,-83.066955494 36.553937949 0 94.082553)"
Clinch River 43	"LINESTRING ZM (-83.066955494 36.553937949 0 94.082553,-83.067779894 36.5541539490001 0 91.875053,-83.069561295 36.5556985490001 0 85.214853,-83.070208696 36.5559038820001 0 83.443253,-83.0717397619999 36.555934682 0 79.543053,-83.073050496 36.5552657490001 0 75.593153,-83.0734773629999 36.554771483 0 73.691453,-83.0741794959999 36.5526851480001 0 66.866453,-83.074842697 36.551810948 0 63.630853,-83.077105697 36.550569481 0 56.661153,-83.079635098 36.549762281 0 49.733653,-83.080495765 36.5497203470001 0 47.537653,-83.0809719649999 36.5494340810001 0 46.025153)"
Clinch River 44	"LINESTRING ZM (-83.0809719649999 36.5494340810001 0 46.025153,-83.0817374979999 36.5494493470001 0 44.074953,-83.0867729669999 36.5479673470001 0 30.423653,-83.097624502 36.5439384790001 0 -4.69999999950232e-005)"
Clinch River 45	"LINESTRING ZM (-83.0652099599999 36.5527265490001 0 99.999953,-83.066121494 36.5531938820001 0 97.249353)"
Clinch River 46	"LINESTRING ZM (-83.0509479569999 36.5552339500001 0 57.532053,-83.052262157 36.5550386830001 0 52.637453,-83.05283389 36.5546952830001 0 50.026553,-83.054982491 36.554117483 0 41.730753,-83.0589147589999 36.552111349 0 24.688753,-83.060370092 36.551593482 0 18.862353,-83.06372136 36.551956949 0 6.476353,-83.0652099599999 36.5527265490001 0 -4.69999999950232e-005)"
Clinch River 47	"LINESTRING ZM (-83.0402270869999 36.557989284 0 99.999953,-83.042973954 36.557409084 0 89.599953,-83.045510555 36.557549351 0 80.287353,-83.046943088 36.557164351 0 74.756853,-83.049229689 36.55579075 0 64.314453,-83.0509479569999 36.5552339500001 0 57.532053)"
Clinch River 48	"LINESTRING ZM (-82.949800861 36.578923559 0 77.631253,-82.952585262 36.5793221590001 0 72.932153,-82.953781663 36.5793178920001 0 70.944153,-82.95626693 36.5787785590001 0 66.667553,-82.95762533 36.577845692 0 63.702753,-82.9589549309999 36.5760985580001 0 59.478753,-82.963295465 36.573734357 0 50.774953,-82.964364732 36.572499491 0 47.671453,-82.965405265 36.57045049 0 43.108953,-82.966763332 36.5695174890001 0 40.144253,-82.9674799329999 36.5693254890001 0 38.889353,-82.969155734 36.56950849 0 36.078953,-82.970669734 36.570619956 0 32.676653,-82.971941067 36.5711642900001 0 30.284653,-82.973114134 36.5712923560001 0 28.317453,-82.973876935 36.5708349560001 0 26.737753,-82.973755668 36.5666315560001 0 18.074053,-82.9741774679999 36.5651907550001 0 15.023553)"
Clinch River 49	"LINESTRING ZM (-82.9741774679999 36.5651907550001 0 15.023553,-82.975489135 36.564522955 0 12.445653,-82.976852868 36.564536688 0 10.178953,-82.979308869 36.5671025550001 0 3.49955300000011,-82.981013603 36.5680995550001 0 -4.69999999950232e-005)"
Clinch River 50	"LINESTRING ZM (-82.939387924 36.5727418910001 0 99.999953,-82.939676724 36.573043758 0 99.214353,-82.941161858 36.573341558 0 96.671253,-82.9433921259999 36.5742614910001 0 92.508353,-82.944593859 36.575203958 0 89.722753)"
Clinch River 51	"LINESTRING ZM (-82.944593859 36.575203958 0 89.722753,-82.946713861 36.577733892 0 83.430953,-82.948586061 36.578749692 0 79.681353,-82.949800861 36.578923559 0 77.631253)"
Clinch River 52	"LINESTRING ZM (-82.920923053 36.5782214930001 0 99.999953,-82.922140053 36.57761136 0 92.821253,-82.925030321 36.57671156 0 77.300753,-82.929469922 36.5747647590001 0 51.984653,-82.934007456 36.573234158 0 27.344353,-82.936660257 36.572713558 0 13.666453,-82.939387924 36.5727418910001 0 -4.69999999950232e-005)"
Clinch River 53	"LINESTRING ZM (-82.905716915 36.585070095 0 48.086653,-82.906575716 36.584555962 0 45.144353,-82.914074518 36.581728694 0 22.373053,-82.919370853 36.5787947600001 0 4.696653,-82.920923053 36.5782214930001 0 -4.69999999950232e-005)"
Clinch River 54	"LINESTRING ZM (-82.890007645 36.592334764 0 99.999953,-82.8911714449999 36.5905700970001 0 93.181853,-82.892125845 36.589998963 0 89.912553,-82.896478913 36.589530763 0 77.832953,-82.898103647 36.589033296 0 73.052453,-82.902660915 36.5864243620001 0 57.678753,-82.905716915 36.585070095 0 48.086653)"
Clinch River 55	"LINESTRING ZM (-82.804349622 36.6279817750001 0 57.274353,-82.8047804879999 36.6279617750001 0 57.013553,-82.805736022 36.6273913740001 0 56.294953)"
Clinch River 56	"LINESTRING ZM (-82.821554893 36.6197237050001 0 45.091353,-82.8298922279999 36.615457771 0 39.122953,-82.833167096 36.6143319700001 0 36.971053,-82.834722696 36.6142331710001 0 36.027953,-82.83620823 36.6145321700001 0 35.102553,-82.8375728299999 36.614547504 0 34.277653,-82.837622497 36.6145619710001 0 34.245753)"
Clinch River 57	"LINESTRING ZM (-82.850384234 36.6071257020001 0 23.714953,-82.8554604349999 36.605162701 0 20.311853,-82.857027836 36.604715368 0 19.306753)"
Clinch River 58	"LINESTRING ZM (-82.7493210059999 36.6485899140001 0 94.388953,-82.7518100739999 36.648054781 0 92.832553,-82.7550670749999 36.6480105140001 0 90.864553,-82.757029409 36.6475521140001 0 89.630253,-82.761045076 36.645158113 0 86.612253,-82.763533877 36.6446227800001 0 85.055953,-82.767552412 36.643175313 0 82.396453,-82.771293213 36.642300979 0 80.043253)"
Clinch River 59	"LINESTRING ZM (-82.7864198839999 36.635597777 0 69.559453,-82.789983018 36.6343021100001 0 67.197453,-82.796842087 36.6308021090001 0 62.291753)"
Clinch River 60	"LINESTRING ZM (-82.745269406 36.6550357830001 0 99.999953,-82.745649006 36.653860982 0 99.089653,-82.7475350729999 36.651907115 0 97.233753,-82.7481764729999 36.650220581 0 95.911053,-82.7485590059999 36.649992582 0 95.623553,-82.7487472729999 36.648931781 0 94.820053,-82.7493210059999 36.6485899140001 0 94.388953)"
Clinch River 61	"LINESTRING ZM (-82.796842087 36.6308021090001 0 62.291753,-82.801192688 36.628917175 0 59.306953,-82.804349622 36.6279817750001 0 57.274353)"
Clinch River 62	"LINESTRING ZM (-82.805736022 36.6273913740001 0 56.294953,-82.80941369 36.6249587070001 0 53.419753,-82.818807426 36.621129173 0 47.057953,-82.821554893 36.6197237050001 0 45.091353)"
Clinch River 63	"LINESTRING ZM (-82.8837312429999 36.5976843650001 0 0.371353,-82.884267843 36.5974432990001 0 -4.69999999950232e-005)"
Clinch River 64	"LINESTRING ZM (-82.8388675639999 36.6148885710001 0 33.447353,-82.839584631 36.614769304 0 33.004853,-82.841327098 36.6136095030001 0 31.639053,-82.842320631 36.6108799690001 0 29.506053,-82.8432014319999 36.6097603700001 0 28.511853,-82.844156432 36.609189703 0 27.793353,-82.8470255 36.608424369 0 25.966653,-82.850384234 36.6071257020001 0 23.714953)"
Clinch River 65	"LINESTRING ZM (-82.837622497 36.6145619710001 0 34.245753,-82.838786431 36.6149021040001 0 33.497453,-82.8388675639999 36.6148885710001 0 33.447353)"
Clinch River 66	"LINESTRING ZM (-82.771293213 36.642300979 0 80.043253,-82.771476679 36.642258113 0 79.927753,-82.776021414 36.6407335120001 0 76.953453,-82.781733082 36.637445111 0 72.712053,-82.7864198839999 36.635597777 0 69.559453)"
Clinch River 67	"LINESTRING ZM (-82.857027836 36.604715368 0 19.306753,-82.858878703 36.6041871680001 0 18.119853,-82.862445704 36.604309501 0 15.961753,-82.863069637 36.604648567 0 15.506853,-82.8645550379999 36.604947168 0 14.581453,-82.864843638 36.605249368 0 14.295453,-82.867479239 36.6058097010001 0 12.647853,-82.868652706 36.6059387670001 0 11.931953,-82.870422307 36.6055927670001 0 10.831253,-82.87137704 36.605021901 0 10.112653,-82.87201984 36.6042815010001 0 9.435053,-82.87306324 36.6022333 0 7.774753,-82.875377707 36.600730367 0 5.978253,-82.876905108 36.5998169 0 4.828553,-82.880993442 36.598914499 0 2.266053,-82.8837312429999 36.5976843650001 0 0.371353)"
Clinch River 68	"LINESTRING ZM (-82.7443708069999 36.6745407860001 0 99.999953,-82.748556075 36.6721659200001 0 83.077853,-82.749439008 36.6710469860001 0 77.636853,-82.749697875 36.669588386 0 71.590053,-82.750221809 36.6685649180001 0 67.046853,-82.752490675 36.6663829180001 0 55.366253,-82.752702476 36.6651895850001 0 50.419153,-82.7518578089999 36.6632029840001 0 41.801453,-82.750415808 36.6616909840001 0 33.976653,-82.7482558739999 36.6603697830001 0 25.010853)"
Clinch River 69	"LINESTRING ZM (-82.7482558739999 36.6603697830001 0 25.010853,-82.747920407 36.6603325840001 0 23.891353,-82.746790473 36.6589903170001 0 17.235653,-82.745560606 36.6562849160001 0 5.411853,-82.7456548059999 36.655754582 0 3.213253,-82.745269406 36.6550357830001 0 -4.69999999950232e-005)"
Clinch River 70	"LINESTRING ZM (-82.620968174 36.728260602 0 73.376953,-82.620798974 36.7272951360001 0 71.986853)"
Clinch River 71	"LINESTRING ZM (-82.620798974 36.7272951360001 0 71.986853,-82.621850974 36.725249202 0 68.830053,-82.623742041 36.723297201 0 65.301053,-82.629514242 36.719751134 0 56.968453,-82.631526776 36.7190297340001 0 54.440253,-82.633084777 36.718933533 0 52.647053,-82.6349071779999 36.719272533 0 50.500553,-82.638026378 36.7209735340001 0 46.176853,-82.6415795789999 36.724075134 0 40.161853,-82.64241878 36.724168934 0 39.189653,-82.64318518 36.723713601 0 38.096553,-82.64383118 36.7229745340001 0 36.808253,-82.643949847 36.7223116 0 35.853353,-82.64370918 36.7217438 0 34.998053,-82.639194978 36.7173179330001 0 26.834053,-82.6383835779999 36.715048132 0 23.466753)"
Clinch River 72	"LINESTRING ZM (-82.6383835779999 36.715048132 0 23.466753,-82.638303645 36.7146489990001 0 22.890353,-82.638590245 36.7140049320001 0 21.914953,-82.640505978 36.7128669320001 0 19.182553,-82.646256047 36.711345931 0 12.236053,-82.652153582 36.711869531 0 5.426353,-82.653040049 36.711698131 0 4.380053,-82.654236849 36.7107499970001 0 2.452953,-82.654402849 36.7098219980001 0 1.116253,-82.6540180489999 36.70910293 0 -4.69999999950232e-005)"
Clinch River 73	"LINESTRING ZM (-82.621137642 36.746399739 0 99.999953,-82.6197191749999 36.743806939 0 95.961153,-82.6194058409999 36.7426901380001 0 94.328853,-82.619762775 36.740701605 0 91.464453,-82.61949844 36.7402664050001 0 90.773853,-82.619495774 36.7383729370001 0 88.074353,-82.6209497739999 36.7321801360001 0 79.089153,-82.62099324 36.7290748030001 0 74.661653,-82.620752774 36.728506936 0 73.806353,-82.620968174 36.728260602 0 73.376953)"
Clinch River 74	"LINESTRING ZM (-82.599466036 36.7526273410001 0 99.999953,-82.60097617 36.751849941 0 89.467253,-82.6029421699999 36.751394141 0 77.446753,-82.6066359709999 36.751807942 0 55.535753,-82.607787372 36.752072141 0 48.501353)"
Clinch River 75	"LINESTRING ZM (-82.607787372 36.752072141 0 48.501353,-82.608075571 36.7523748080001 0 45.717253,-82.6109787729999 36.753376141 0 27.159553,-82.615545574 36.7539538080001 0 -4.69999999950232e-005)"
Clinch River 76	"LINESTRING ZM (-82.5087753449999 36.8048343560001 0 74.079153,-82.508817412 36.804882956 0 73.737553)"
Clinch River 77	"LINESTRING ZM (-82.504103544 36.803437622 0 99.999953,-82.504751544 36.803645956 0 96.763553,-82.506167411 36.8033999560001 0 90.046053,-82.507679345 36.8035704220001 0 82.965853,-82.5087753449999 36.8048343560001 0 74.079153)"
Clinch River 78	"LINESTRING ZM (-82.508817412 36.804882956 0 73.737553,-82.509239146 36.805369222 0 70.318453,-82.510367146 36.8057669560001 0 64.606653,-82.512911013 36.805918423 0 52.777553,-82.514471014 36.804877156 0 43.375453,-82.515383014 36.803627555 0 35.019053,-82.517878814 36.8012039550001 0 16.870953,-82.518286748 36.799897421 0 9.101553,-82.517950748 36.7989129540001 0 3.213653,-82.518173615 36.7983853540001 0 -4.69999999950232e-005)"
Clinch River 79	"LINESTRING ZM (-82.4643430679999 36.838555898 0 52.784953,-82.464377202 36.8385106310001 0 52.582853,-82.464195001 36.836258431 0 43.969053,-82.463715601 36.8351222310001 0 39.390053,-82.463812001 36.8345921640001 0 37.345453,-82.4629249339999 36.8328687630001 0 30.227353,-82.461797534 36.83152403 0 24.038553,-82.4613422 36.830255229 0 18.998553,-82.461776 36.8278698290001 0 9.797753,-82.462160334 36.827642762 0 8.334453,-82.46305 36.825579428 0 -4.69999999950232e-005)"
Clinch River 80	"LINESTRING ZM (-82.452422798 36.845340966 0 99.999953,-82.454007799 36.8451145660001 0 95.062453,-82.455545333 36.844206566 0 89.210253,-82.456026199 36.8434494320001 0 85.965953,-82.4576118 36.842276365 0 79.355653,-82.458115999 36.8423333650001 0 77.793853,-82.4596052 36.841690365 0 72.608653,-82.461574401 36.8412368310001 0 66.325553,-82.462919601 36.840442232 0 61.204853,-82.4643430679999 36.838555898 0 52.784953)"
Clinch River 81	"LINESTRING ZM (-82.416333722 36.861355637 0 87.024553,-82.4176335879999 36.8601995700001 0 84.523553,-82.4182601219999 36.8586474370001 0 81.904253,-82.419342389 36.857417637 0 79.486353,-82.420136923 36.85588477 0 76.820853,-82.421531123 36.8548255690001 0 74.345953,-82.424413923 36.8540703690001 0 70.434953,-82.427392125 36.8537318360001 0 66.555153,-82.430610992 36.8530146350001 0 62.246553,-82.432749793 36.851633968 0 58.707653,-82.433182593 36.851141969 0 57.740453,-82.4333759259999 36.850081835 0 56.020553,-82.431844325 36.8453095670001 0 48.109053,-82.432447192 36.842943367 0 44.231853,-82.4342013259999 36.841789567 0 41.307553,-82.435521593 36.8420744330001 0 39.544053,-82.438280128 36.8448215670001 0 33.877253,-82.438878928 36.846241967 0 31.469853,-82.439213194 36.848173434 0 28.339553,-82.439596594 36.848893167 0 27.082753,-82.440772195 36.8499730350001 0 24.779553,-82.442477196 36.8500308340001 0 22.578253,-82.444375196 36.8490285670001 0 19.648553,-82.444544196 36.848100968 0 18.143653,-82.444137396 36.846567033 0 15.625953,-82.4445719289999 36.8441816330001 0 11.755953,-82.445749196 36.843368233 0 9.753053,-82.4466377959999 36.843198366 0 8.574753,-82.447646197 36.8433125660001 0 7.260953,-82.448126197 36.8435021660001 0 6.57105299999989,-82.449445797 36.844733567 0 3.962253,-82.452422798 36.845340966 0 -4.69999999950232e-005)"
Clinch River 82	"LINESTRING ZM (-82.407568919 36.8612890380001 0 99.999953,-82.4086265189999 36.860665238 0 98.307853,-82.411365787 36.8597588380001 0 94.486953,-82.412542387 36.8598923710001 0 92.954253,-82.413549721 36.860953438 0 90.812053,-82.4143417879999 36.8613138380001 0 89.638053,-82.416271389 36.861411037 0 87.144453,-82.416333722 36.861355637 0 87.024553)"
Clinch River 83	"LINESTRING ZM (-82.4064421859999 36.8763778410001 0 99.999953,-82.407259987 36.8756591740001 0 94.126453,-82.40757472 36.873936574 0 83.623753,-82.40726412 36.872819174 0 76.717153,-82.404940185 36.86863284 0 49.066353,-82.404559719 36.8660196390001 0 33.195153,-82.404994186 36.864581172 0 24.265953,-82.405763386 36.8641274390001 0 19.641153,-82.406485586 36.862992171 0 11.950153,-82.40730332 36.8622733720001 0 6.075753,-82.407568919 36.8612890380001 0 -4.69999999950232e-005)"
Clinch River 84	"LINESTRING ZM (-82.376268511 36.8902627780001 0 99.999953,-82.377615379 36.8894691790001 0 95.432553,-82.379803112 36.8887710450001 0 88.995953,-82.384011781 36.8864090440001 0 74.957153,-82.386343181 36.8858625770001 0 68.316353,-82.389274515 36.885789844 0 60.297153,-82.390043982 36.885336244 0 57.687353,-82.3902865159999 36.8840112440001 0 53.128053,-82.390840982 36.8828568430001 0 48.915653,-82.391683182 36.8820057770001 0 45.214553,-82.393222183 36.8810985760001 0 39.994453,-82.3939189829999 36.8810424420001 0 38.079453,-82.395962383 36.8801924420001 0 31.786853,-82.398822184 36.879570442 0 23.684953,-82.400480718 36.878947242 0 18.677753,-82.4020195849999 36.878039975 0 13.457753,-82.405288119 36.8770584420001 0 3.91525299999989,-82.4064421859999 36.8763778410001 0 -4.69999999950232e-005)"
Clinch River 85	"LINESTRING ZM (-82.356402972 36.889754646 0 22.656253,-82.356978173 36.8887433790001 0 21.399053,-82.358132906 36.8880632460001 0 20.098553,-82.360294373 36.8884446450001 0 18.088653,-82.361637574 36.8895445790001 0 16.346553)"
Clinch River 86	"LINESTRING ZM (-82.356414372 36.8898607790001 0 22.796053,-82.356402906 36.889848246 0 22.778453)"
Clinch River 87	"LINESTRING ZM (-82.347510837 36.8939770470001 0 41.941253,-82.349713304 36.8927852470001 0 39.529453,-82.350987571 36.8923893800001 0 38.288653,-82.352452371 36.892826847 0 36.869453,-82.354202705 36.8945142470001 0 34.385953,-82.355594573 36.89534918 0 32.808353,-82.356795973 36.895350647 0 31.717353,-82.3586233729999 36.8947472470001 0 29.923053,-82.359634307 36.8939154460001 0 28.608653,-82.359660573 36.8928363790001 0 27.388253,-82.3585583729999 36.8913581800001 0 25.440053,-82.357286173 36.8908074460001 0 24.127453,-82.3565247719999 36.8899805790001 0 22.964553)"
Clinch River 88	"LINESTRING ZM (-82.317817361 36.887928247 0 99.999953,-82.319140561 36.8872677800001 0 98.585053,-82.320317495 36.8874022470001 0 97.505453,-82.321467562 36.8886157810001 0 95.780853,-82.322205963 36.891135048 0 92.854353,-82.3241943629999 36.8933912480001 0 89.728653,-82.3252448969999 36.8960814480001 0 86.540553,-82.3256470969999 36.8985622490001 0 83.711653,-82.3270142979999 36.899529982 0 82.056753,-82.328191365 36.899664382 0 80.977153,-82.329129698 36.899230383 0 79.993853,-82.329660898 36.898208782 0 78.741953,-82.328280964 36.89264038 0 72.321953,-82.328524564 36.8913154480001 0 70.807553,-82.330232698 36.8904281810001 0 68.960053,-82.332730499 36.8908485810001 0 66.642353,-82.3339318989999 36.8908503800001 0 65.551253,-82.3347261659999 36.8902645800001 0 64.571953,-82.335356766 36.887766379 0 61.689653,-82.335958567 36.88729398 0 60.925353,-82.337135566 36.8874282470001 0 59.845653,-82.3388611669999 36.889248379 0 57.258753,-82.339841168 36.89138918 0 54.679553,-82.3394253009999 36.8945882470001 0 51.042553,-82.341655502 36.896465848 0 48.108353,-82.3426887689999 36.8964484470001 0 47.169753,-82.3450229699999 36.8949560470001 0 44.460353,-82.347235503 36.894126047 0 42.242753,-82.347510837 36.8939770470001 0 41.941253)"
Clinch River 89	"LINESTRING ZM (-82.3565247719999 36.8899805790001 0 22.964553,-82.356414372 36.8898607790001 0 22.796053)"
Clinch River 90	"LINESTRING ZM (-82.356402906 36.889848246 0 22.778453,-82.356369973 36.8898125790001 0 22.728253,-82.356402972 36.889754646 0 22.656253)"
Clinch River 91	"LINESTRING ZM (-82.361637574 36.8895445790001 0 16.346553,-82.364970575 36.892899846 0 11.492953,-82.3657385079999 36.893393046 0 10.599953,-82.3669155759999 36.893527046 0 9.52035299999989,-82.370400177 36.893247246 0 6.340053,-82.3732867109999 36.8915467790001 0 3.089053,-82.375306311 36.8908296450001 0 1.08375299999989,-82.376268511 36.8902627780001 0 -4.69999999950232e-005)"
Clinch River 92	"LINESTRING ZM (-82.318510896 36.9074872510001 0 47.885553,-82.3200293629999 36.905766784 0 43.155453,-82.320536363 36.9048777840001 0 40.962053,-82.3207313629999 36.9038178500001 0 38.558653,-82.3203731629999 36.9029652500001 0 36.540253,-82.316349762 36.897771049 0 22.818753,-82.316254761 36.897354383 0 21.868653,-82.3167154939999 36.8957836490001 0 18.248753,-82.317341762 36.8951788480001 0 16.484353,-82.317897495 36.8940248480001 0 13.708853,-82.317595561 36.8900673800001 0 4.814953,-82.317817361 36.887928247 0 -4.69999999950232e-005)"
Clinch River 93	"LINESTRING ZM (-82.29859349 36.905616652 0 99.999953,-82.3009749569999 36.9048067840001 0 95.341553,-82.3020327579999 36.9046571850001 0 93.406953,-82.303882557 36.9048686510001 0 90.041353,-82.304964758 36.9045865840001 0 87.991953,-82.3073243589999 36.9029624500001 0 82.393953,-82.309393759 36.901981451 0 78.065353,-82.313695361 36.9019319830001 0 70.315953,-82.315713294 36.90216245 0 66.644453,-82.316673495 36.902542784 0 64.715953,-82.3171048949999 36.9029978500001 0 63.432953,-82.316861095 36.904322784 0 60.428653,-82.316185895 36.9051925840001 0 58.129553,-82.315988295 36.9071990510001 0 53.614753,-82.3165390949999 36.907938384 0 51.682153,-82.317043562 36.9079960510001 0 50.764353,-82.318510896 36.9074872510001 0 47.885553)"
Clinch River 94	"LINESTRING ZM (-82.2854167519999 36.892339183 0 96.696353,-82.285801885 36.8921126490001 0 94.808353,-82.2871469519999 36.8922666490001 0 89.434753,-82.288152886 36.8933288490001 0 82.862753,-82.288844153 36.895166649 0 73.408553,-82.290113154 36.8966647830001 0 64.485653,-82.293259087 36.897295383 0 51.662353,-82.293882755 36.8976372500001 0 48.676153,-82.295032689 36.8988511840001 0 41.164853,-82.295271289 36.8994195830001 0 38.210953,-82.2954038889999 36.9033578510001 0 18.809753,-82.295737489 36.904342985 0 13.782253,-82.29691189 36.905424252 0 6.716753,-82.29859349 36.905616652 0 -4.69999999950232e-005)"
Clinch River 95	"LINESTRING ZM (-82.284742751 36.89273545 0 99.999953,-82.2854167519999 36.892339183 0 96.696353)"
